,PLAYER,DIST_MI_DEF,AVG_SPEED_DEF
341,Malik Monk,0.46,4.18
342,Mangok Mathiang,0.15,4.01
343,Manu Ginobili,0.62,3.86
344,MarShon Brooks,0.88,3.99
345,Marc Gasol,0.91,3.47
346,Marcin Gortat,0.85,4.06
347,Marco Belinelli,0.81,3.95
348,Marcus Georges-Hunt,0.18,4.13
349,Marcus Morris,0.83,3.82
350,Marcus Paige,0.17,4.12
351,Marcus Smart,0.96,3.83
352,Mario Chalmers,0.65,3.72
353,Mario Hezonja,0.72,3.95
354,Markel Brown,0.28,4.37
355,Markelle Fultz,0.64,4.27
356,Markieff Morris,0.83,3.74
357,Marquese Chriss,0.70,3.92
358,Marquis Teague,0.72,3.60
359,Marreese Speights,0.38,3.55
360,Marshall Plumlee,0.22,4.10
361,Marvin Williams,0.84,3.93
362,Mason Plumlee,0.64,3.98
363,Matt Costello,0.29,4.25
364,Matt Williams Jr.,0.13,3.93
365,Matthew Dellavedova,0.62,3.90
366,Maurice Harkless,0.72,4.21
367,Maxi Kleber,0.55,4.10
368,Meyers Leonard,0.24,3.98
369,Michael Beasley,0.72,3.99
370,Michael Carter-Williams,0.55,4.32
371,Michael Kidd-Gilchrist,0.92,4.43
372,Mike Conley,1.01,3.90
373,Mike James,0.66,4.14
374,Mike Muscala,0.69,4.23
375,Mike Scott,0.61,4.04
376,Miles Plumlee,0.55,4.05
377,Milos Teodosic,0.84,3.91
378,Milton Doyle,0.40,4.06
379,Mindaugas Kuzminskas,0.07,4.46
380,Mirza Teletovic,0.52,3.92
381,Monte Morris,0.27,3.79
382,Montrezl Harrell,0.57,3.87
383,Myke Henry,0.65,4.26
384,Myles Turner,0.94,3.97
385,Nate Wolters,0.11,3.43
386,Naz Mitrou-Long,0.02,0.00
387,Nemanja Bjelica,0.69,4.17
388,Nene,0.50,3.99
389,Nerlens Noel,0.52,4.14
390,Nick Collison,0.15,3.94
391,Nick Young,0.56,3.84
392,Nicolas Batum,1.06,4.14
393,Nicolas Brussino,0.08,3.36
394,Nigel Hayes,0.43,3.88
395,Nik Stauskas,0.42,3.95
396,Nikola Jokic,0.98,3.66
397,Nikola Mirotic,0.93,3.94
398,Nikola Vucevic,0.94,3.84
399,Noah Vonleh,0.54,4.01
400,Norman Powell,0.54,4.23
401,OG Anunoby,0.72,4.36
402,Okaro White,0.48,4.35
403,Omari Johnson,0.61,4.02
404,Omer Asik,0.33,3.76
405,Omri Casspi,0.49,4.12
