,PLAYER,DREB%,%DREB,STL%,%BLK
273,Josh Huestis,11.7,17.6,10.0,31.4
274,Kris Dunn,13.1,17.7,40.3,21.4
275,Kosta Koufos,23.6,34.5,21.8,26.7
276,Omri Casspi,20.5,30.7,14.4,15.7
277,Glenn Robinson III,7.8,10.9,25.0,6.3
278,RJ Hunter,9.4,12.5,60.0,0.0
279,Marshall Plumlee,24.5,32.5,0.0,25.0
280,Nerlens Noel,27.3,37.7,38.3,68.8
281,Kyle O'Quinn,24.2,36.3,18.1,56.6
282,DeAndre' Bembry,14.2,21.8,25.6,30.0
283,Mike Muscala,15.2,21.8,18.9,29.3
284,Jason Terry,5.6,8.3,25.8,16.0
285,JaMychal Green,21.8,31.0,14.5,18.7
286,Jarrett Allen,15.7,23.9,15.2,53.3
287,Nemanja Bjelica,16.4,23.5,23.1,17.2
288,Sindarius Thornwell,8.6,12.8,26.7,22.9
289,Miles Plumlee,16.0,22.9,14.4,38.0
290,Ryan Arcidiacono,7.7,10.6,23.2,0.0
291,Johnathan Motley,20.0,28.9,18.8,20.0
292,Quinn Cook,9.4,14.0,10.7,1.0
293,Justin Jackson,10.9,15.7,12.4,9.8
294,Milton Doyle,12.5,17.2,25.0,18.2
295,Isaiah Canaan,9.4,14.2,29.6,4.0
296,Khem Birch,19.1,27.9,15.5,37.5
297,Jordan Bell,16.2,24.3,24.8,36.8
298,Richaun Holmes,18.2,27.0,16.1,42.0
299,Gordon Hayward,20.0,25.0,0.0,0.0
300,Sam Dekker,13.6,20.9,16.3,10.1
301,Lance Thomas,9.8,14.3,16.2,11.7
302,Jabari Parker,14.5,22.5,17.6,11.9
303,Jerian Grant,8.4,11.6,26.3,7.3
304,Ian Mahinmi,15.6,23.3,19.9,41.6
305,Jameer Nelson,8.8,13.1,18.1,4.7
306,Patrick Patterson,12.8,19.8,21.5,14.7
307,Vince Carter,13.0,19.5,22.8,28.0
308,Lucas Nogueira,16.0,24.3,25.8,60.6
309,Mason Plumlee,18.2,27.1,21.3,47.9
310,Skal Labissiere,15.7,23.2,12.6,42.2
311,Marreese Speights,15.2,24.0,12.5,40.7
312,Joakim Noah,20.0,22.9,33.3,66.7
313,Wayne Selden,6.0,8.9,15.9,7.0
314,Tony Snell,6.6,10.0,12.9,12.4
315,Courtney Lee,8.2,12.2,26.0,6.5
316,Taurean Prince,13.8,20.3,20.7,18.1
317,Channing Frye,16.4,24.5,20.5,23.2
318,David Nwaba,14.2,20.0,22.6,23.0
319,Ron Baker,6.4,10.0,41.9,14.6
320,LeBron James,20.1,29.1,26.0,28.9
321,Kevon Looney,13.5,19.9,25.8,41.2
322,Alec Peters,12.0,16.2,6.1,8.3
323,Mike Scott,14.1,20.8,11.0,8.5
324,Tyler Ennis,10.1,14.6,32.3,16.1
325,Sterling Brown,14.7,23.0,22.3,14.9
326,Austin Rivers,5.8,8.5,23.3,9.2
327,Marquese Chriss,20.0,29.3,21.0,41.4
328,Zach Collins,16.3,22.8,14.7,34.8
329,Salah Mejri,21.6,31.2,21.2,68.4
330,Brandon Paul,10.9,16.0,25.5,12.3
331,Devin Booker,11.2,16.4,17.3,7.7
332,Rodney McGruder,7.8,11.2,14.8,7.7
333,Henry Ellenson,20.8,28.3,8.6,0.0
334,Kevin Love,27.4,38.7,16.9,20.3
335,Bruno Caboclo,14.6,20.8,18.8,30.8
