,PLAYER,TEAM,AGE,GP,MIN,SCREEN_AST,DEFL,LB_REC,CHARGES_DRAWN,CONT_2PT,CONT_3PT,CONT_ALL
156,Eric Moreland,DET,26,67,12.0,1.9,0.9,0.4,0.19,4.1,0.8,4.9
157,Erik McCree,UTA,24,4,2.0,0.0,0.0,0.5,0.00,0.0,0.0,0.0
158,Ersan Ilyasova,PHI,31,69,25.0,1.8,1.7,0.9,0.46,4.6,2.2,6.8
159,Evan Fournier,ORL,25,57,32.0,0.4,2.2,0.8,0.02,3.1,2.3,5.4
160,Evan Turner,POR,29,79,26.0,0.2,1.0,0.8,0.00,3.0,2.4,5.4
161,Frank Kaminsky,CHA,25,79,23.0,1.6,0.5,0.6,0.04,4.7,2.6,7.3
162,Frank Mason,SAC,24,52,19.0,0.1,0.9,0.8,0.00,1.1,1.9,3.0
163,Frank Ntilikina,NYK,19,78,22.0,0.1,1.6,0.7,0.01,3.0,1.8,4.8
164,Fred VanVleet,TOR,24,76,20.0,0.3,1.7,1.0,0.08,2.0,1.7,3.7
165,Furkan Korkmaz,PHI,20,14,6.0,0.0,0.2,0.1,0.00,0.7,0.5,1.2
166,Garrett Temple,SAC,32,65,25.0,0.1,1.9,0.9,0.02,2.6,3.2,5.8
167,Gary Harris,DEN,23,67,34.0,0.1,3.0,1.4,0.06,2.5,2.9,5.4
168,Gary Payton II,LAL,25,23,10.0,0.2,0.9,0.3,0.00,1.3,0.9,2.2
169,George Hill,CLE,32,67,27.0,0.6,1.8,1.0,0.03,2.8,3.0,5.8
170,Georges Niang,UTA,25,9,4.0,0.0,0.2,0.2,0.00,0.6,0.2,0.8
171,Georgios Papagiannis,POR,20,17,7.0,1.2,0.3,0.2,0.00,3.1,0.8,3.9
172,Gerald Green,HOU,32,41,23.0,0.2,1.1,0.8,0.02,3.1,2.2,5.3
173,Gian Clavell,DAL,24,7,9.0,0.0,0.7,0.3,0.00,0.7,1.4,2.1
174,Giannis Antetokounmpo,MIL,23,75,37.0,1.4,2.5,1.8,0.00,6.6,3.7,10.3
175,Glenn Robinson III,IND,24,23,15.0,0.1,0.8,0.4,0.00,2.2,1.5,3.7
176,Goran Dragic,MIA,32,75,32.0,0.4,1.5,1.3,0.07,3.8,1.8,5.5
177,Gordon Hayward,BOS,28,1,5.0,0.0,0.0,1.0,0.00,0.0,0.0,0.0
178,Gorgui Dieng,MIN,28,79,17.0,1.7,1.3,0.8,0.18,4.9,1.8,6.7
179,Greg Monroe,BOS,28,51,20.0,1.8,1.5,0.9,0.04,5.8,0.8,6.5
180,Guerschon Yabusele,BOS,22,33,7.0,0.5,0.3,0.4,0.00,1.4,0.7,2.0
181,Harrison Barnes,DAL,26,77,34.0,0.9,1.1,1.3,0.01,4.9,3.6,8.5
182,Hassan Whiteside,MIA,29,54,25.0,3.1,1.1,0.9,0.02,8.6,1.0,9.6
183,Henry Ellenson,DET,21,38,9.0,0.7,0.2,0.2,0.00,1.8,1.4,3.2
184,Ian Clark,NOP,27,74,20.0,0.3,0.7,0.6,0.01,2.0,1.7,3.7
185,Ian Mahinmi,WAS,31,77,15.0,2.1,1.1,0.5,0.04,4.6,1.2,5.8
186,Ike Anigbogu,IND,19,11,3.0,0.3,0.1,0.3,0.00,1.0,0.2,1.2
187,Iman Shumpert,SAC,28,14,20.0,0.4,1.9,0.9,0.00,1.6,1.9,3.4
188,Isaiah Canaan,PHX,27,20,21.0,0.1,1.6,1.1,0.10,1.9,1.6,3.5
189,Isaiah Hicks,NYK,23,18,13.0,1.2,0.4,0.2,0.00,3.2,1.6,4.7
190,Isaiah Taylor,ATL,23,67,17.0,0.0,0.8,0.7,0.03,1.7,1.8,3.5
191,Isaiah Thomas,LAL,29,32,27.0,0.4,0.7,1.0,0.09,2.9,2.9,5.8
192,Isaiah Whitehead,BKN,23,16,11.0,0.0,0.6,0.3,0.00,1.4,1.4,2.9
193,Ish Smith,DET,29,82,25.0,0.1,1.4,1.1,0.13,2.8,2.0,4.9
194,Ivan Rabb,MEM,21,36,14.0,1.5,0.6,0.6,0.00,3.3,1.8,5.1
195,Ivica Zubac,LAL,21,43,10.0,1.2,0.3,0.3,0.00,3.9,1.1,5.0
196,J.J. Barea,DAL,34,69,23.0,0.1,0.7,0.8,0.04,1.3,1.9,3.2
197,JJ Redick,PHI,34,70,30.0,0.8,0.8,0.7,0.09,2.7,2.2,4.9
198,JR Smith,CLE,32,80,28.0,0.5,1.5,0.8,0.04,2.2,2.8,5.0
199,JaKarr Sampson,SAC,25,22,16.0,0.3,0.9,0.5,0.05,3.4,2.0,5.4
200,JaMychal Green,MEM,28,55,28.0,1.3,1.3,1.0,0.05,3.3,2.9,6.2
201,JaVale McGee,GSW,30,65,9.0,1.1,0.7,0.2,0.00,4.0,1.1,5.0
202,Jabari Bird,BOS,23,13,9.0,0.0,0.5,0.3,0.00,0.6,1.0,1.6
203,Jabari Parker,MIL,23,31,24.0,0.4,1.3,1.1,0.00,3.6,2.5,6.0
204,Jack Cooley,SAC,27,7,12.0,2.6,0.1,1.0,0.00,3.1,1.3,4.4
205,Jacob Pullen,PHI,28,3,2.0,0.0,0.0,0.0,0.00,0.0,0.7,0.7
206,Jacob Wiley,BKN,23,5,7.0,0.4,0.2,0.2,0.00,1.6,0.6,2.2
207,Jae Crowder,UTA,27,80,26.0,0.6,1.5,0.7,0.03,3.8,3.0,6.8
208,Jahlil Okafor,BKN,22,28,13.0,1.1,0.1,0.5,0.00,5.3,0.9,6.3
209,Jake Layman,POR,24,35,5.0,0.0,0.2,0.1,0.00,0.6,0.2,0.8
210,Jakob Poeltl,TOR,22,82,19.0,2.8,1.0,0.7,0.05,8.5,1.5,9.9
211,Jalen Jones,DAL,25,16,11.0,0.3,0.8,0.5,0.06,1.0,1.6,2.6
212,Jamal Crawford,MIN,38,80,21.0,0.0,0.9,0.6,0.01,0.6,0.9,1.6
213,Jamal Murray,DEN,21,81,32.0,0.4,2.0,1.2,0.06,4.3,3.4,7.7
214,Jameel Warney,DAL,24,3,9.0,2.0,0.0,0.3,0.00,0.7,1.0,1.7
215,Jameer Nelson,DET,36,50,20.0,0.2,0.9,0.6,0.08,1.5,1.8,3.3
216,Jamel Artis,ORL,25,15,19.0,0.1,0.7,0.3,0.00,2.1,1.5,3.5
217,James Ennis III,DET,27,72,22.0,0.2,1.3,0.7,0.01,2.5,2.5,5.0
218,James Harden,HOU,28,72,35.0,0.3,2.9,1.3,0.03,4.4,3.1,7.6
219,James Johnson,MIA,31,73,27.0,1.9,1.9,1.0,0.00,4.7,2.9,7.6
220,James Michael McAdoo,PHI,25,3,6.0,0.3,0.0,0.0,0.00,2.3,0.0,2.3
221,James Webb III,BKN,24,10,12.0,0.6,0.6,0.2,0.00,1.4,0.7,2.1
222,James Young,PHI,22,6,10.0,0.0,0.2,0.0,0.00,1.3,0.7,2.0
223,Jamil Wilson,LAC,27,15,18.0,0.9,0.8,0.5,0.13,3.5,2.1,5.6
224,Jared Dudley,PHX,32,48,14.0,0.8,0.8,0.4,0.06,1.9,1.2,3.1
225,Jarell Eddie,CHI,26,3,3.0,0.0,0.3,0.3,0.00,0.3,0.3,0.7
226,Jarell Martin,MEM,24,73,23.0,0.7,1.1,0.6,0.08,4.6,2.5,7.0
227,Jarrett Allen,BKN,20,72,20.0,2.2,0.8,0.7,0.00,9.7,1.3,11.0
228,Jarrett Jack,NYK,34,62,25.0,0.2,1.1,1.0,0.03,1.7,2.6,4.3
229,Jason Smith,WAS,32,33,9.0,0.9,0.2,0.1,0.09,1.7,1.3,3.0
230,Jason Terry,MIL,40,51,16.0,0.2,1.3,0.5,0.02,1.4,1.2,2.6
231,Jawun Evans,LAC,21,48,16.0,0.1,1.7,0.5,0.10,1.3,1.5,2.8
232,Jaylen Brown,BOS,21,70,31.0,0.3,2.0,1.2,0.07,3.3,3.4,6.7
233,Jaylen Morris,ATL,22,6,16.0,0.0,1.0,0.5,0.17,4.0,2.7,6.7
234,Jayson Tatum,BOS,20,80,31.0,0.4,1.7,0.8,0.01,3.4,3.0,6.4
235,Jeff Green,CLE,31,78,23.0,0.9,1.0,0.6,0.08,4.5,3.0,7.5
236,Jeff Teague,MIN,30,70,33.0,0.4,2.7,1.2,0.10,2.6,2.9,5.5
237,Jeff Withey,DAL,28,10,4.0,0.4,0.0,0.0,0.00,1.3,0.5,1.8
238,Jerami Grant,OKC,24,81,20.0,1.7,0.7,0.6,0.21,4.4,2.2,6.6
