,PLAYER,TEAM,GP,W,L,MIN,DREB,CONTESTED_DREB,CONTEST_DREB%,DREB_CHANCES,DREB_CHANCE%,DEFER_DREB_CHANCE,ADJ_DREB_CHANCE%,AVG_DREB_DIST
157,Ersan Ilyasova,PHI,69,36,33,25.1,4.2,1.2,30.0,7.1,58.8,0.4,62.4,5.4
158,Evan Fournier,ORL,57,20,37,32.2,2.8,0.5,17.2,5.3,52.3,0.5,57.7,8.1
159,Evan Turner,POR,79,48,31,25.7,2.7,0.7,27.6,5.1,53.5,0.6,60.6,5.7
160,Frank Kaminsky,CHA,79,35,44,23.2,3.1,0.6,18.2,5.4,56.8,0.5,62.1,6.1
161,Frank Mason,SAC,52,17,35,18.9,1.9,0.3,14.0,3.0,64.1,0.2,67.6,8.3
162,Frank Ntilikina,NYK,77,27,50,22.0,1.8,0.4,21.6,3.4,53.1,0.3,57.9,9.4
163,Fred VanVleet,TOR,76,55,21,20.0,2.1,0.3,15.7,4.3,48.8,0.3,52.5,8.8
164,Furkan Korkmaz,PHI,14,11,3,5.7,0.6,0.0,0.0,0.8,81.8,0.0,81.8,8.5
165,Garrett Temple,SAC,65,23,42,24.8,2.0,0.3,14.6,3.7,54.4,0.3,59.4,8.3
166,Gary Harris,DEN,67,37,30,34.4,2.1,0.3,13.7,3.4,60.7,0.2,65.3,9.3
167,Gary Payton II,LAL,23,10,13,9.6,1.3,0.3,19.4,2.3,57.4,0.1,60.8,4.5
168,George Hill,CLE,67,28,39,27.0,2.1,0.4,18.7,3.9,53.1,0.3,57.7,8.7
169,Georges Niang,UTA,9,9,0,3.5,0.7,0.0,0.0,0.8,85.7,0.0,85.7,7.6
170,Georgios Papagiannis,POR,17,3,14,7.2,1.4,0.5,37.5,2.4,58.5,0.0,58.5,3.8
171,Gerald Green,HOU,41,33,8,22.7,2.9,0.3,11.9,5.0,57.6,0.2,60.5,6.6
172,Gian Clavell,DAL,7,0,7,9.1,0.9,0.1,16.7,1.1,75.0,0.1,85.7,6.6
173,Giannis Antetokounmpo,MIL,74,39,35,36.7,7.9,1.9,24.5,12.3,64.6,0.7,68.3,5.7
174,Glenn Robinson III,IND,23,14,9,14.7,1.1,0.2,19.2,1.9,59.1,0.1,63.4,7.4
175,Goran Dragic,MIA,74,38,36,31.7,3.3,0.4,13.5,6.5,51.0,0.6,55.9,9.1
176,Gordon Hayward,BOS,1,0,1,5.3,1.0,0.0,0.0,2.0,50.0,0.0,50.0,21.8
177,Gorgui Dieng,MIN,79,45,34,16.9,3.2,1.0,31.1,5.5,58.5,0.3,61.8,5.3
178,Greg Monroe,BOS,50,21,29,20.5,4.7,1.7,36.2,7.1,66.0,0.5,70.8,3.9
179,Guerschon Yabusele,BOS,32,23,9,7.3,1.1,0.3,22.9,2.1,53.0,0.3,61.4,6.0
180,Harrison Barnes,DAL,77,24,53,34.2,5.1,1.0,18.9,8.6,59.3,0.7,65.0,6.1
181,Hassan Whiteside,MIA,54,30,24,25.3,8.2,3.0,36.9,12.4,66.4,0.8,70.7,3.5
182,Henry Ellenson,DET,38,21,17,8.7,1.9,0.5,25.4,3.2,58.7,0.2,63.4,5.4
183,Ian Clark,NOP,73,43,30,19.6,1.6,0.2,11.2,2.7,59.5,0.3,65.9,9.2
184,Ian Mahinmi,WAS,77,42,35,14.9,2.3,0.7,31.1,4.6,49.7,0.5,55.8,5.3
185,Ike Anigbogu,IND,11,5,6,2.7,0.4,0.1,25.0,1.3,28.6,0.2,33.3,9.3
186,Iman Shumpert,SAC,14,9,5,19.7,2.4,0.4,17.6,3.7,65.4,0.2,69.4,6.7
187,Isaiah Canaan,PHX,20,9,11,21.1,2.0,0.3,12.8,3.8,52.0,0.2,54.9,7.3
188,Isaiah Hicks,NYK,18,4,14,13.3,1.7,0.5,29.0,3.8,45.6,0.3,50.0,5.9
189,Isaiah Taylor,ATL,67,18,49,17.4,1.1,0.2,18.1,2.0,55.0,0.2,60.5,9.5
190,Isaiah Thomas,LAL,32,15,17,26.9,1.6,0.3,18.0,3.2,49.0,0.3,53.8,10.9
191,Isaiah Whitehead,BKN,15,2,13,10.9,1.2,0.3,27.8,1.8,66.7,0.1,72.0,8.0
192,Ish Smith,DET,82,39,43,24.9,2.4,0.4,16.8,5.0,48.5,0.5,54.6,8.6
193,Ivan Rabb,MEM,36,6,30,14.3,2.9,1.1,37.1,4.9,59.3,0.3,62.9,5.2
194,Ivica Zubac,LAL,43,19,24,9.5,1.8,0.7,38.5,3.3,55.7,0.3,60.9,4.0
195,J.J. Barea,DAL,69,23,46,23.2,2.7,0.2,9.1,4.6,58.1,0.4,63.1,8.4
196,JJ Redick,PHI,69,45,24,30.2,2.3,0.2,10.5,4.2,55.7,0.3,60.2,10.0
197,JR Smith,CLE,80,49,31,28.1,2.6,0.4,16.0,4.3,59.4,0.4,64.6,8.5
198,JaKarr Sampson,SAC,22,6,16,15.6,2.6,0.3,12.3,4.6,55.9,0.4,60.6,4.5
199,JaMychal Green,MEM,55,11,44,28.0,5.8,1.4,23.7,8.3,69.5,0.3,72.5,4.8
200,JaVale McGee,GSW,64,44,20,9.5,1.7,0.7,44.3,3.0,54.4,0.2,58.6,5.1
201,Jabari Bird,BOS,13,8,5,8.8,1.0,0.1,7.7,1.5,68.4,0.1,72.2,7.7
202,Jabari Parker,MIL,31,16,15,24.0,3.5,0.6,16.5,6.4,55.3,0.4,58.9,6.5
203,Jack Cooley,SAC,7,4,3,12.5,2.3,0.6,25.0,4.0,57.1,0.1,59.3,6.3
204,Jacob Pullen,PHI,3,2,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Jacob Wiley,BKN,4,1,3,8.1,2.3,0.0,0.0,3.3,69.2,0.3,75.0,3.3
206,Jae Crowder,UTA,80,52,28,26.1,2.7,0.5,19.4,4.8,56.8,0.3,60.8,6.6
207,Jahlil Okafor,BKN,28,7,21,12.6,2.3,0.9,37.5,3.8,61.0,0.3,66.0,4.5
208,Jake Layman,POR,35,22,13,4.6,0.3,0.1,16.7,0.5,63.2,0.1,75.0,6.6
209,Jakob Poeltl,TOR,82,59,23,18.6,2.8,1.4,49.6,6.1,45.5,0.6,50.2,4.0
210,Jalen Jones,DAL,16,3,13,11.3,1.6,0.2,12.0,2.4,65.8,0.1,69.4,5.6
211,Jamal Crawford,MIN,80,45,35,20.7,1.0,0.0,3.8,1.7,58.2,0.1,61.9,11.6
212,Jamal Murray,DEN,81,46,35,31.7,2.7,0.5,17.2,5.1,51.8,0.4,56.3,7.8
