,PLAYER,6FREQ,6DFGM,6DFGA,6DFG%
295,Omri Casspi,38.3%,1.1,1.9,60.0
296,Andre Iguodala,26.1%,1.3,1.9,67.5
297,Dorian Finney-Smith,26.6%,1.3,1.9,65.8
298,Jeremy Lamb,21.5%,1.4,1.9,72.8
299,Avery Bradley,21.0%,1.4,1.9,74.4
300,Ben McLemore,29.7%,1.3,1.9,68.0
301,Alex Abrines,31.7%,1.2,1.9,62.3
302,DeAndre' Bembry,29.3%,1.3,1.8,71.7
303,Isaiah Thomas,20.2%,1.4,1.8,77.2
304,MarShon Brooks,21.2%,1.3,1.8,72.7
305,Kadeem Allen,45.8%,1.2,1.8,63.6
306,Sterling Brown,34.2%,1.4,1.8,75.8
307,Patrick Beverley,17.5%,1.1,1.8,60.0
308,Jose Calderon,27.6%,1.2,1.8,66.7
309,Doug McDermott,27.8%,1.1,1.8,62.1
310,Torrey Craig,27.6%,1.2,1.8,65.7
311,Justin Jackson,28.9%,1.1,1.8,63.1
312,Maurice Harkless,25.4%,0.9,1.8,52.4
313,OG Anunoby,25.0%,1.2,1.8,65.4
314,Lou Williams,21.5%,1.3,1.8,71.9
315,Ike Anigbogu,80.0%,1.1,1.8,62.5
316,C.J. Williams,24.0%,1.3,1.8,73.4
317,Spencer Dinwiddie,19.9%,1.0,1.8,58.7
318,Emmanuel Mudiay,28.7%,1.2,1.8,65.4
319,Joe Ingles,20.2%,1.3,1.8,71.5
320,Derrick Rose,29.7%,1.2,1.8,65.9
321,James Ennis III,25.4%,1.2,1.8,70.2
322,Omari Johnson,28.0%,1.3,1.8,71.4
323,DeMar DeRozan,23.8%,1.2,1.7,66.2
324,Luke Kennard,26.8%,1.2,1.7,68.3
325,Courtney Lee,20.3%,1.3,1.7,76.0
326,Jared Dudley,32.9%,1.3,1.7,77.8
327,Mike Scott,30.0%,1.1,1.7,65.4
328,Wes Iwundu,30.2%,1.1,1.7,63.6
329,Andrew Bogut,43.0%,0.9,1.7,52.9
330,Henry Ellenson,34.7%,1.2,1.7,68.6
331,Andrew Harrison,21.7%,1.2,1.7,71.0
332,Rajon Rondo,23.6%,1.2,1.7,72.6
333,Troy Daniels,25.1%,1.2,1.7,68.7
334,Adreian Payne,45.5%,0.7,1.7,40.0
335,Meyers Leonard,45.5%,0.9,1.7,55.6
336,Juancho Hernangomez,31.8%,1.0,1.7,60.0
337,Jacob Wiley,41.7%,0.3,1.7,20.0
338,James Michael McAdoo,62.5%,0.7,1.7,40.0
339,Shelvin Mack,24.1%,1.2,1.7,70.9
340,Alex Caruso,30.4%,1.1,1.7,65.5
341,Mike James,24.0%,0.9,1.7,55.2
342,Damian Jones,51.2%,0.9,1.6,57.1
343,Jonas Jerebko,31.0%,1.0,1.6,59.3
344,Brandon Jennings,36.2%,1.3,1.6,81.0
345,Jarrett Jack,19.5%,1.1,1.6,68.4
346,Semi Ojeleye,26.6%,1.0,1.6,63.2
347,Reggie Jackson,18.2%,1.1,1.6,68.1
348,Tyler Ulis,22.2%,1.1,1.6,70.3
349,Guerschon Yabusele,45.3%,1.0,1.6,65.1
350,Cameron Payne,20.9%,1.2,1.6,76.3
351,Terry Rozier,20.5%,1.1,1.6,69.4
352,Bruno Caboclo,43.8%,1.0,1.6,64.3
353,Brice Johnson,36.2%,0.7,1.6,47.1
354,Gary Harris,18.5%,1.2,1.6,77.5
355,Nick Young,29.7%,1.2,1.5,75.4
356,Thomas Bryant,62.5%,1.2,1.5,75.0
357,Troy Williams,30.5%,0.7,1.5,48.3
358,Dwayne Bacon,25.0%,1.0,1.5,65.7
359,Mario Chalmers,24.7%,1.2,1.5,75.8
360,Gary Payton II,34.9%,0.9,1.5,60.0
361,Royce O'Neale,26.2%,1.0,1.5,64.6
362,Dante Exum,25.9%,0.6,1.5,42.9
363,PJ Dozier,75.0%,1.0,1.5,66.7
364,Andre Ingram,18.8%,1.5,1.5,100
365,Alec Peters,36.0%,0.7,1.5,48.1
366,Matthew Dellavedova,25.8%,1.1,1.5,70.4
367,Wayne Ellington,21.3%,0.9,1.5,63.1
368,Quinn Cook,20.9%,1.2,1.5,83.7
369,Tyler Dorsey,22.8%,1.1,1.5,71.6
370,Eric Gordon,19.3%,1.0,1.5,70.0
371,Antonio Blakeney,24.4%,0.9,1.5,63.6
372,Nik Stauskas,26.9%,1.0,1.5,68.5
373,JJ Redick,18.5%,1.0,1.5,72.0
374,D.J. Wilson,51.6%,1.0,1.5,68.8
375,Timothe Luwawu-Cabarrot,25.9%,0.9,1.5,62.0
376,Chandler Parsons,27.0%,1.1,1.5,75.0
377,Corey Brewer,29.1%,1.0,1.4,72.0
378,Michael Carter-Williams,25.7%,0.9,1.4,58.7
379,Derrick Jones Jr.,25.0%,0.8,1.4,56.5
380,Jason Smith,34.5%,0.9,1.4,60.0
381,Glenn Robinson III,27.7%,1.1,1.4,75.8
382,Patrick McCaw,28.6%,1.0,1.4,68.9
383,Jerryd Bayless,18.1%,0.9,1.4,61.1
384,Shaquille Harrison,20.7%,1.1,1.4,74.2
385,Alec Burks,33.0%,0.9,1.4,63.2
386,Sam Dekker,31.3%,0.8,1.4,60.4
387,Ian Clark,24.6%,0.9,1.4,67.4
388,Larry Drew II,44.0%,0.9,1.4,63.6
389,Lance Thomas,24.6%,0.8,1.4,60.2
390,DeAndre Liggins,32.8%,0.9,1.4,62.5
391,TJ Leaf,36.9%,0.9,1.4,66.1
392,Danuel House,21.5%,0.7,1.4,54.8
393,Raymond Felton,26.2%,0.9,1.3,67.0
394,Jameer Nelson,19.7%,0.9,1.3,68.3
395,Aaron Harrison,15.4%,1.2,1.3,91.7
396,Jordan Crawford,50.0%,1.3,1.3,100
397,Walter Lemon Jr.,57.1%,0.7,1.3,50.0
398,Jaylen Morris,21.6%,1.0,1.3,75.0
399,Jameel Warney,44.4%,1.3,1.3,100
400,Zach LaVine,22.1%,0.9,1.3,69.0
401,Fred VanVleet,22.0%,0.8,1.3,62.6
402,Shaun Livingston,25.6%,0.8,1.3,61.8
403,Cedi Osman,27.2%,0.8,1.3,58.7
404,Wesley Matthews,15.0%,1.0,1.3,75.3
405,Isaiah Canaan,18.8%,1.1,1.3,80.8
406,Langston Galloway,25.6%,0.9,1.3,67.2
407,Patty Mills,19.0%,0.9,1.3,66.0
408,Tim Frazier,23.4%,0.9,1.3,69.1
409,Terrance Ferguson,28.5%,0.8,1.3,63.2
410,D.J. Augustin,19.6%,0.9,1.3,72.3
411,Trey Burke,18.9%,0.8,1.3,63.6
412,Tyler Ennis,24.4%,0.9,1.3,69.0
413,Marco Belinelli,19.1%,1.0,1.3,80.8
414,Darren Collison,16.0%,0.9,1.3,74.4
415,Treveon Graham,23.3%,0.9,1.3,68.9
416,Markel Brown,29.4%,0.8,1.3,60.0
417,Bryn Forbes,20.3%,1.0,1.2,83.7
418,Malik Monk,30.1%,1.0,1.2,77.9
419,Jalen Jones,28.6%,0.9,1.2,68.8
420,Lance Stephenson,22.8%,0.9,1.2,74.0
421,Justin Anderson,25.3%,0.7,1.2,57.5
422,James Young,31.6%,0.6,1.2,50.0
423,Josh Gray,17.1%,1.0,1.2,83.3
424,Manu Ginobili,23.4%,0.7,1.2,61.0
425,Rodney McGruder,22.9%,0.7,1.2,57.9
426,Shabazz Napier,16.9%,0.9,1.2,70.9
427,Udonis Haslem,41.9%,0.6,1.2,46.2
428,Demetrius Jackson,43.3%,0.7,1.2,61.5
429,John Holland,34.5%,0.7,1.2,60.0
430,Pat Connaughton,18.7%,0.7,1.2,57.9
431,Wayne Selden,23.3%,0.8,1.2,68.3
432,Jason Terry,27.1%,0.8,1.2,70.9
433,Tony Allen,27.8%,0.8,1.2,72.7
434,Isaiah Whitehead,25.0%,0.5,1.2,46.7
435,Raul Neto,22.7%,0.7,1.2,58.7
436,Tyus Jones,20.0%,0.8,1.2,72.3
437,Jawun Evans,20.9%,0.8,1.1,71.4
438,T.J. McConnell,16.3%,0.7,1.1,59.5
439,Dakari Johnson,34.7%,0.8,1.1,68.0
440,Devin Harris,20.4%,0.7,1.1,65.8
441,J.J. Barea,15.3%,0.9,1.1,79.2
442,Josh Magette,22.6%,0.9,1.1,78.9
443,Mirza Teletovic,20.8%,0.8,1.1,70.0
444,Milton Doyle,29.4%,0.7,1.1,60.0
445,Davon Reed,31.1%,0.8,1.1,69.6
446,Abdel Nader,28.9%,0.7,1.1,67.4
447,Dwight Buycks,22.4%,0.6,1.1,57.1
448,Derrick Walton Jr.,32.0%,0.8,1.1,75.0
449,Damyean Dotson,26.4%,0.8,1.1,78.6
450,Caleb Swanigan,34.3%,0.6,1.1,60.9
451,Norman Powell,25.1%,0.7,1.1,63.2
452,Jodie Meeks,24.0%,0.8,1.1,74.4
453,Ramon Sessions,27.2%,0.8,1.0,80.0
454,Malik Beasley,34.1%,0.6,1.0,56.8
455,CJ Miles,22.5%,0.7,1.0,70.4
456,Erik McCree,100.0%,1.0,1.0,100
457,Jeff Withey,45.0%,0.4,1.0,44.4
458,Gordon Hayward,100.0%,1.0,1.0,100
459,Arron Afflalo,25.1%,0.6,1.0,59.2
460,Darrun Hilliard,25.6%,0.9,1.0,90.0
461,Chinanu Onuaku,16.7%,1.0,1.0,100
462,Gian Clavell,26.1%,0.5,1.0,50.0
463,Rodney Purvis,20.6%,0.6,1.0,57.1
464,Tyler Lydon,50.0%,0.0,1.0,0.0
465,Malcolm Delaney,18.5%,0.7,1.0,71.4
466,Ron Baker,22.0%,0.5,1.0,50.0
467,Shane Larkin,20.4%,0.6,0.9,63.0
468,Malcolm Miller,25.6%,0.8,0.9,81.8
469,Sean Kilpatrick,25.3%,0.7,0.9,73.2
470,Rashad Vaughn,26.5%,0.5,0.9,50.0
471,Damien Wilkins,29.5%,0.7,0.9,76.9
472,Ryan Arcidiacono,24.4%,0.6,0.9,70.0
473,Antonius Cleveland,30.0%,0.7,0.9,83.3
474,Brandon Paul,22.4%,0.5,0.8,63.2
475,Frank Mason,16.5%,0.5,0.8,64.3
